Abstand,Zeit,Datum,Lange,Breite,Geschwindigkeit Fahrrad, Geschwindigkeit KFZ, Lange KFZ,checksumme
166.913,140236,120820,48.6622,8.95482,36.8231,732.234,9.7079,12323600000
221.056,140845,120820,48.6779,8.98722,36.1879,223.006,7.20363,16456600000
174.447,141301,120820,48.6809,9.0113,22.1461,616.766,38.0551,13064500000
141.827,141512,120820,48.6831,9.02183,21.8331,707.963,25.6344,10650400000
178.791,141731,120820,48.6836,9.03419,12.0231,1063.21,23.5902,13465500000
141.384,141804,120820,48.6838,9.03551,7.74687,597.671,13.4288,10655300000
206.834,142016,120820,48.6865,9.04004,16.8457,721.859,16.5823,15619800000
239.494,142030,120820,48.6867,9.04122,21.822,517.259,22.7108,18090500000
218.453,142141,120820,48.6884,9.04381,38.5492,443.124,14.6303,16519400000
217.842,45207,130820,48.6732,8.97398,20.3367,436.641,6.2278,5627250000
165.1,145342,130820,48.6567,8.96042,27.2576,253.428,18.0484,13686200000
189.201,145649,130820,48.6514,8.97272,25.576,414.355,18.5059,15737100000
188.213,145844,130820,48.6485,8.98521,33.1636,667.667,15.2538,15696800000
188.413,150708,130820,48.6401,9.01671,44.1088,808.206,4.49205,16291600000
232.334,150941,130820,48.6432,9.03641,35.0359,601.488,8.06531,20165700000
110.904,151628,130820,48.6575,9.06009,21.1201,4180.34,104.479,9698070000
156.244,153309,130820,48.6764,9.12374,34.3359,330.994,6.5858,13916700000
184.9,154651,130820,48.6885,9.15497,26.8112,312.739,2.81351,16674300000
139.304,44830,110820,48.6886,9.03812,14.6826,587.178,8.976,3045470000
183.244,45531,110820,48.6819,8.99821,6.6542,759.733,71.4823,4050230000
228.813,45531,110820,48.6819,8.99821,6.6542,320.094,10.4188,5057440000
195.915,45659,110820,48.6797,8.99264,13.1936,371.572,29.4444,4339590000
237.811,45958,110820,48.6752,8.97774,27.6113,1018.62,42.6923,5292800000
136.651,142009,110820,48.6616,8.95409,28.2947,309.092,12.1869,9370340000
168.774,142009,110820,48.6616,8.95409,28.2947,731.608,32.0432,11573000000
228.79,143212,110820,48.6832,9.00331,20.6793,132.831,22.3856,15915300000
215.137,143256,110820,48.6844,9.00715,25.3,189.105,9.00266,14976900000
155.558,143303,110820,48.6846,9.00783,27.7335,207.237,10.6122,10833700000
190.723,144656,110820,48.6964,9.0647,12.1861,655.039,19.4141,13496100000
192.529,150341,110820,48.6918,9.14754,31.3486,822.545,22.2168,14287400000
191.046,90949,160820,48.7829,9.17335,19.0088,218.706,6.76575,12504600000
206.58,90949,160820,48.7829,9.17335,19.0088,867.812,20.6088,13521400000
106.421,91159,160820,48.7832,9.16611,0.314838,101.667,8.85818,6976230000
222.752,91426,160820,48.7829,9.16623,8.64509,924.089,67.9621,14645000000
123.931,92947,160820,48.7738,9.16439,12.6565,39.0814,8.79944,8280310000
177.499,93911,160820,48.7722,9.16523,13.6732,163.27,7.18033,11983100000
204.428,93911,160820,48.7722,9.16523,13.6732,436.57,26.9989,13801100000
218.394,93945,160820,48.7728,9.16695,8.88214,918.586,75.5036,14752200000
203.855,94339,160820,48.7784,9.17557,14.3214,852.103,32.3331,13842400000
140.567,94726,160820,48.7807,9.17746,9.62294,498.94,229.625,9586570000
189.6,95029,160820,48.7771,9.18176,9.22661,401.45,2.50885,12977100000
140.304,95252,160820,48.7741,9.17901,13.5751,590.184,23.7345,9622120000
199.59,95535,160820,48.7715,9.17395,8.53767,421.428,15.8866,13720300000
125.48,95549,160820,48.7712,9.17328,3.1669,319.779,10.2064,8626390000
173.096,95549,160820,48.7712,9.17328,3.1669,323.982,10.4077,11899800000
170.7,95607,160820,48.7707,9.17281,11.5046,329.317,9.35436,11741500000
168.505,100624,160820,48.7628,9.16319,13.1862,160.559,4.01964,12184000000
237.064,101402,160820,48.7747,9.17254,5.65412,993.127,40.3668,17295600000
230.274,102034,160820,48.7827,9.17089,11.5509,559.924,8.54691,16904700000
145.511,102121,160820,48.7838,9.16951,6.93755,307.954,17.2967,10689900000
219.015,102808,160820,48.7837,9.17114,13.0028,786.351,35.2538,16200900000
216.387,103041,160820,48.7846,9.17384,1.32788,887.651,9.74609,16047800000
237.35,103204,160820,48.7844,9.17372,0.748204,6076.91,51.505,17630000000
187.729,103434,160820,48.7844,9.17357,1.35936,3978.62,26.8776,13975100000
98.0368,104116,160820,48.7847,9.17381,0.275946,134.726,7.56284,7346500000
171.368,60612,200720,48.6908,9.15976,21.7016,1164.2,6.71805,9298440000
230.85,60741,200720,48.6948,9.15882,23.2536,129.308,3.51253,12552300000
251.175,60926,200720,48.6987,9.15246,24.8648,668.879,4.04396,13690700000
138.787,61039,200720,48.7011,9.1484,13.3491,503.059,41.6839,7575830000
206.104,61906,200720,48.7257,9.14665,7.93762,177.315,23.8414,11413800000
181.975,61925,200720,48.7263,9.14703,12.1453,508.231,30.8358,10081200000
155.589,62000,200720,48.7281,9.14757,18.2643,165.502,2.94474,8630700000
193.076,62234,200720,48.7347,9.1512,24.4648,817.949,24.2152,10756300000
182.749,62330,200720,48.7382,9.15213,17.5476,360.128,22.4049,10198400000
193.731,62359,200720,48.7394,9.15277,14.0603,279.452,12.8873,10817400000
203.945,62634,200720,48.7455,9.14553,26.5279,236.066,13.0419,11430300000
170.451,62634,200720,48.7455,9.14553,26.5279,548.848,20.3496,9553100000
143.975,63614,200720,48.7609,9.15975,2.94096,188.388,28.2109,8210790000
150.019,63704,200720,48.7614,9.15998,1.60567,174.051,10.9395,8567910000
172.757,63955,200720,48.7644,9.16818,15.8086,299.232,3.96904,9914890000
157.527,181921,200720,48.7541,9.14021,21.4849,198.503,15.4217,25632900000
189.998,182034,200720,48.7503,9.13716,21.985,802.821,45.4776,30923000000
185.45,182612,200720,48.7434,9.1482,16.166,419.496,6.92238,30310900000
140.28,182725,200720,48.7432,9.15157,21.3886,516.013,23.6227,22950700000
186.584,183240,200720,48.7288,9.15033,0.374102,386.359,33.1329,30599100000
129.642,183309,200720,48.7271,9.14985,26.6057,257.985,17.4732,21267000000
176.496,183418,200720,48.7247,9.1485,18.7069,347.559,3.20984,28964400000
182.9,184124,200720,48.706,9.14549,22.9128,1271.51,15.2417,30109500000
184.189,84913,220720,48.7033,9.14672,20.6608,399.142,20.1355,15378200000
187.361,84946,220720,48.7038,9.14514,14.7826,272.598,6.40384,15646500000
150.333,85013,220720,48.705,9.14497,11.6472,1230.98,31.9451,12564300000
168.505,85537,220720,48.7226,9.14589,22.2942,253.13,8.64223,14176400000
171.619,85741,220720,48.7264,9.15098,8.27839,613.835,4.48106,14481900000
156.784,85813,220720,48.7276,9.15,17.5069,92.281,2.74561,13240100000
197.7,85831,220720,48.7284,9.15034,9.61923,822.107,5.55808,16699800000
190.287,90027,220720,48.7306,9.15076,12.951,3814.97,216.259,16860900000
195.355,90158,220720,48.7353,9.15105,24.8889,683.468,40.7528,17337400000
180.183,90350,220720,48.7411,9.1534,11.4194,531.159,2.36776,16031100000
199.678,90713,220720,48.7494,9.15615,31.3949,398.981,15.9383,17845300000
140.69,90941,220720,48.7568,9.15626,34.4359,301.638,12.7834,12607200000
143.331,90957,220720,48.756,9.15851,35.7897,287.218,5.26919,12849100000
121.869,91302,220720,48.7619,9.16013,15.1511,267.472,8.89285,10969800000
133.335,145143,220720,48.781,9.1761,6.14675,179.295,14.2674,19120100000
161.783,61000,230720,48.7207,9.16562,12.675,577.045,47.791,10167700000
154.478,61017,230720,48.7212,9.16628,15.1345,226.754,24.5228,9712140000
208.863,61205,230720,48.7242,9.16765,21.4627,879.828,26.9874,13174600000
164.812,61335,230720,48.7309,9.16753,12.462,114.41,4.70168,10419300000
183.783,61335,230720,48.7309,9.16753,12.462,767.757,22.8101,11618700000
188.89,61335,230720,48.7309,9.16753,12.462,788.742,32.6962,11941500000
123.622,61652,230720,48.7404,9.16931,17.5513,175.376,8.71196,7858740000
198.215,61912,230720,48.747,9.17028,8.64323,371.094,44.9577,12656900000
233.477,62012,230720,48.7495,9.1701,19.57,789.76,40.45,14933000000
192.349,62302,230720,48.7612,9.17948,45.7145,289.132,11.2462,12375700000
176.003,63028,230720,48.7734,9.17478,11.6564,734.975,61.7717,11452900000
245.55,63107,230720,48.7735,9.17357,14.0492,518.617,11.6878,15996500000
121.696,63118,230720,48.7734,9.17387,7.77465,4539.28,116.341,7929570000
224.014,63132,230720,48.7755,9.17443,14.7492,935.38,59.5803,14601300000
157.438,63329,230720,48.7794,9.17416,7.83762,169.594,4.74369,10294400000
137.779,93713,230720,48.7843,9.17422,8.93585,575.165,27.7454,13332700000
228.644,183559,230720,48.7733,9.18676,25.4056,1784.14,119.172,43387500000
165.869,183921,230720,48.7661,9.18403,17.918,4177.5,93.0116,31523300000
127.242,184559,230720,48.7598,9.18363,13.8918,277.115,63.7417,24262000000
202.697,184607,230720,48.7596,9.1839,12.1176,67.7517,3.16229,38660500000
144.627,184938,230720,48.7524,9.17595,22.9906,196.543,20.8118,27606200000
118.485,184938,230720,48.7524,9.17595,22.9906,509.927,71.5782,22616300000
214.017,185129,230720,48.7449,9.17516,39.0307,312.261,7.94611,40883900000
207.271,185221,230720,48.7415,9.17401,25.3648,454.144,27.253,39607100000
190.205,190600,230720,48.709,9.16896,28.6392,810.323,33.3284,37355800000
230.85,62028,240720,48.7161,9.14283,23.6795,972.404,3.98622,15352600000
232.069,64008,240720,48.7631,9.16489,11.3416,965.077,16.8999,15980200000
148.757,64345,240720,48.7728,9.17475,7.98763,58.9332,4.50351,10310400000
212.882,64635,240720,48.7787,9.17151,5.37818,390.069,9.44821,14818000000
70.6209,175245,240720,48.7485,9.16785,8.40988,81.2111,1.3277,13314300000
207.343,180216,240720,48.7214,9.14503,18.6958,870.814,21.6774,40077400000
134.564,180515,240720,48.7117,9.14167,24.787,391.421,4.70824,26038300000
194.346,180901,240720,48.7016,9.14734,22.0813,421.434,21.5003,37702300000
187.692,90951,160820,48.7827,9.17317,16.5364,787.896,15.1183,12285100000
87.789,92558,160820,48.7733,9.17054,0.761168,28.8098,14.6964,5844820000
145.395,92804,160820,48.7736,9.16951,13.2936,610.823,34.7285,9704830000
95.9928,92921,160820,48.7741,9.16611,11.9268,406.428,19.0952,6413080000
128.685,93000,160820,48.7735,9.16437,11.236,275.664,13.3596,8602750000
128.237,93355,160820,48.7708,9.15625,8.18394,139.389,11.2678,8597440000
81.8745,93448,160820,48.7701,9.15676,2.73539,334.773,241.645,5494830000
169.799,93851,160820,48.7721,9.1632,17.0827,714.906,20.5667,11453400000
241.524,94352,160820,48.7786,9.17507,15.4789,819.773,16.3137,16401700000
198.415,94838,160820,48.779,9.18024,8.44137,347.069,6.0285,13551400000
135.413,95226,160820,48.7746,9.18053,1.52048,277.924,6.62397,9285730000
122.916,95446,160820,48.7731,9.17484,4.35958,509.508,13.4772,8442780000
200.697,95446,160820,48.7731,9.17484,4.35958,414.021,7.27709,13785300000
166.159,101152,160820,48.7719,9.17386,11.4712,181.618,4.62255,12093800000
151.723,101253,160820,48.7734,9.17465,7.04311,156.193,3.69671,11055400000
125.381,101351,160820,48.7745,9.17268,3.02985,131.42,62.8235,9143010000
160.912,102054,160820,48.7831,9.17024,13.3436,233.531,4.53707,11814300000
156.524,102155,160820,48.7839,9.16937,12.3472,200.176,7.10595,11502600000
85.3993,102755,160820,48.7834,9.17042,7.99318,353.186,23.7859,6313330000
112.258,104129,160820,48.7844,9.17391,0.524113,411.068,15.9968,8413280000
163.254,105922,160820,48.7843,9.17377,2.50759,673.431,8.13265,12445600000
104.279,110230,160820,48.7806,9.17409,19.2718,47.8933,2.59886,8272730000
136.602,110315,160820,48.7797,9.17422,1.81125,179.955,12.4984,10845200000
86.6053,110315,160820,48.7797,9.17422,1.81125,121.017,3.29968,6875860000
183.176,110355,160820,48.7774,9.17409,23.9147,254.832,32.3194,14547300000
189.262,110529,160820,48.7738,9.17397,26.8242,694.636,45.7849,15053000000
173.723,110905,160820,48.7637,9.16606,16.4846,357.219,5.53362,13849300000
194.357,110958,160820,48.7625,9.162,23.1239,331.685,20.7601,15494400000
89.0395,111132,160820,48.7619,9.16016,0.246315,76.1213,3.43253,7107970000
123.26,111345,160820,48.7592,9.15219,0.201867,50.3132,7.18393,9849480000
149.841,111948,160820,48.7458,9.1349,17.8624,300.479,10.8189,12012400000
168.811,111948,160820,48.7458,9.1349,17.8624,722.226,22.964,13533100000
144.542,111948,160820,48.7458,9.1349,17.8624,611.886,13.0436,11587500000
208.708,112107,160820,48.7428,9.13258,14.0436,646.498,54.1138,16750000000
180.863,112155,160820,48.7412,9.1305,17.3272,388.972,8.14789,14517700000
203.498,112402,160820,48.736,9.12694,19.0922,1019.33,24.3612,16362500000
186.053,112417,160820,48.7359,9.12628,13.9399,195.675,17.9694,14960700000
193.23,112417,160820,48.7359,9.12628,13.9399,818.825,16.3256,15537800000
225.91,112417,160820,48.7359,9.12628,13.9399,954.953,19.05,18165600000
129.329,112703,160820,48.7342,9.12049,7.89503,546.604,136.056,10418900000
100.231,112834,160820,48.7328,9.12323,14.9974,91.1188,24.6963,8086370000
147.638,113113,160820,48.7303,9.13129,24.963,1284.81,26.9563,11950400000
200.9,113324,160820,48.725,9.13419,23.6406,908.465,6.23006,16295300000
